model,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,row_mean
exp1,2.657734375,4.491875,3.2759375,6.386640625,20.57546875,4.759921875,8.627421875,27.135859375,6.5275,9.382039930555557
exp2,3.390390625,4.14015625,3.686875,5.024921875,28.123671875,4.6253125,7.48546875,32.5290625,5.791171875,10.533003472222223
exp3,3.828046875,5.332109375,2.731328125,5.02375,32.732578125,3.589296875,7.64703125,25.02359375,4.439375,10.038567708333334
exp4,5.00375,5.536875,3.8453125,4.394375,31.27640625,4.578125,6.108203125,34.9309375,4.21734375,11.099036458333334
exp5,10.526640625,18.87765625,9.763515625,19.0790625,2.84234375,3.65484375,7.277578125,5.798359375,5.68078125,9.277864583333333
exp6,11.395234375,12.355546875,10.94234375,13.211484375,13.682109375,3.04359375,5.04125,18.1153125,5.959765625,10.416293402777777
exp7,9.310546875,10.05421875,9.236640625,10.184609375,22.635,2.77828125,3.5625,24.303984375,4.500078125,10.729539930555555
exp8,8.50046875,21.51671875,7.670078125,21.21640625,3.931640625,4.952734375,10.316015625,3.56984375,4.418828125,9.565859375
exp9,5.0865625,7.86859375,4.436875,7.296015625,46.83625,2.856015625,4.47953125,47.53140625,2.977734375,14.374331597222222
col_mean,6.633263888888889,10.019305555555555,6.176545138888888,10.201918402777777,22.515052083333334,3.8709027777777774,6.727222222222221,24.326484375,4.945842013888889,10.60183738425926
