model,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,row_mean
exp1,0.07831111111111105,0.2549696969696969,0.07733333333333328,0.2679838383838383,0.28275959595959593,0.12770101010101004,0.2536929292929293,0.3159717171717171,0.17877171717171714,0.20416610549943878
exp2,0.0943353535353535,0.1083676767676767,0.09963636363636356,0.11813737373737368,0.3851717171717171,0.13982222222222218,0.15122020202020198,0.39925252525252525,0.18697777777777777,0.18699124579124576
exp3,0.07932929292929286,0.25737373737373737,0.06865050505050499,0.26999595959595957,0.269870707070707,0.12361616161616157,0.2672040404040404,0.31279595959595957,0.1497414141414141,0.19984197530864192
exp4,0.11234343434343427,0.10890505050505044,0.11246464646464639,0.09904646464646459,0.35376161616161617,0.14381414141414134,0.14791111111111108,0.37795555555555554,0.1713454545454545,0.18083860830527493
exp5,0.1294747474747474,0.24347878787878785,0.1280848484848484,0.26412525252525243,0.11396363636363631,0.15888484848484843,0.2558060606060606,0.1263717171717171,0.1817535353535353,0.17799371492704819
exp6,0.09099393939393935,0.23387070707070706,0.10072323232323227,0.26077575757575755,0.27317979797979797,0.11089292929292924,0.25159191919191914,0.315640404040404,0.12237979797979792,0.1955609427609427
exp7,0.13183030303030296,0.12597575757575752,0.15498181818181814,0.14181414141414134,0.34852121212121207,0.12678787878787875,0.13201212121212114,0.3743313131313131,0.13358787878787873,0.1855380471380471
exp8,0.11170909090909084,0.2309131313131313,0.09623838383838378,0.246060606060606,0.1136565656565656,0.15317575757575752,0.2527838383838384,0.11968888888888882,0.16330101010101006,0.16528080808080803
exp9,0.0813696969696969,0.23050101010101,0.07164040404040396,0.25629494949494946,0.3804848484848484,0.10634343434343428,0.26290909090909087,0.3964888888888889,0.11100202020202012,0.210781593714927
col_mean,0.10107744107744102,0.1993728395061728,0.10108372615039275,0.21380381593714923,0.28015218855218854,0.13233759820426483,0.2194590347923681,0.30427744107744104,0.1554289562289562,0.1896658935029305
