model,architecture,test_exp,n_files,tau_mean,tau_pm,seq_mae_mean,seq_mae_pm,stage_mae_mean,stage_mae_pm
exp1,unified,exp1,50,0.056969696969697024,0.00816311217412265,0.7612167686223984,0.06212083083809681,0.59359375,0.030506771789227387
exp1,unified,exp2,50,0.1951515151515152,0.020550856534847547,1.7778891956806182,0.1486585614873674,1.0325,0.05660277882147218
exp1,unified,exp3,50,0.040909090909090964,0.007457501261741127,0.5910583877563477,0.052585204047642685,0.6875,0.03794918477385252
exp1,unified,exp4,50,0.20090909090909093,0.019214201206590554,1.7388416290283204,0.14261765788098724,1.200078125,0.07439567865106901
exp1,unified,exp5,50,0.2475757575757576,0.022729418888566805,2.1652298164367676,0.16190029661182442,3.059140625,0.2278208535205417
exp1,unified,exp6,50,0.07060606060606066,0.01048179321398377,1.0290655434131621,0.07681352613027416,0.670859375,0.034561676216448546
exp1,unified,exp7,50,0.19848484848484851,0.01686863848054512,1.8362238454818725,0.12017774556078886,1.13265625,0.060253201419094723
exp1,unified,exp8,50,0.3054545454545455,0.026930005522257758,2.017469789981842,0.1581182470409312,3.828125,0.31745147420757475
exp1,unified,exp9,50,0.11787878787878793,0.017477346218862704,0.9881250390410423,0.11705588399133125,0.862734375,0.04299759815693924
exp2,unified,exp1,50,0.07242424242424247,0.009149877437245851,1.0109126842021943,0.07183986817348352,0.695546875,0.03986859629712495
exp2,unified,exp2,50,0.08787878787878796,0.010003488831255897,1.0712826943397522,0.06716814541637835,0.85234375,0.044374449820532985
exp2,unified,exp3,50,0.0657575757575758,0.008510687927487512,0.8572436571121216,0.06833369680326716,0.85640625,0.046960260377126306
exp2,unified,exp4,50,0.08000000000000006,0.00822811592308408,0.9362502098083496,0.0758670630730128,1.0775,0.05606078975930949
exp2,unified,exp5,50,0.3054545454545455,0.01944789464339536,2.7211063075065614,0.15343116508076363,2.715078125,0.1938039090576236
exp2,unified,exp6,50,0.10030303030303037,0.01112421559641152,1.3287723660469055,0.08866298181908072,0.938984375,0.04981686784880825
exp2,unified,exp7,50,0.12151515151515158,0.011524723294535561,1.334445583820343,0.07976026558447172,1.119609375,0.0565407987547764
exp2,unified,exp8,50,0.37878787878787873,0.03029696909078784,2.5904235196113587,0.19736618837328593,3.52265625,0.2868670852666353
exp2,unified,exp9,50,0.20606060606060617,0.024969108554408512,1.4627726686000824,0.1248808406179327,1.540859375,0.1362761954821095
exp3,unified,exp1,50,0.07303030303030308,0.009474578620536685,0.9918957328796387,0.07502491682002557,0.854609375,0.03568595675844526
exp3,unified,exp2,50,0.18606060606060612,0.019881359774497613,1.7556538474559784,0.15573292401338518,1.38,0.07105538772675861
exp3,unified,exp3,50,0.029393939393939465,0.005393721480106166,0.5127146980166435,0.04314083072890176,0.61421875,0.023015119860376573
exp3,unified,exp4,50,0.17878787878787886,0.018915694262697652,1.647983008623123,0.14285378097505239,1.145,0.07311214069624483
exp3,unified,exp5,50,0.22969696969696973,0.018401756613558567,2.1432150340080263,0.14412178712652515,3.104609375,0.22541168978688333
exp3,unified,exp6,50,0.10151515151515156,0.012390493704917772,1.2988188433647156,0.09571983511465935,0.8646875,0.03471084856082461
exp3,unified,exp7,50,0.20030303030303034,0.016762461888347735,1.8293053150177,0.12918676797048692,1.434921875,0.06611412872887401
exp3,unified,exp8,50,0.29515151515151516,0.023162859349827064,2.008890347480774,0.14204210073721324,3.689140625,0.3196333568673107
exp3,unified,exp9,50,0.1751515151515152,0.023941109259605096,1.3282733869552612,0.12635576833065743,1.013515625,0.04342956638429774
exp4,unified,exp1,50,0.07939393939393945,0.01165115221880272,1.0975445902347565,0.08714796591618526,0.8684375,0.029994637541567327
exp4,unified,exp2,50,0.08969696969696976,0.01181315199880725,1.1226117742061614,0.08368603369547936,1.058203125,0.038577757946816
exp4,unified,exp3,50,0.040606060606060666,0.008201825145712676,0.627087898850441,0.0433535061791098,0.666328125,0.028706376721089777
exp4,unified,exp4,50,0.06666666666666671,0.008817713202168826,0.8436730295419693,0.05966758202117039,0.87796875,0.04359362051952097
exp4,unified,exp5,50,0.25272727272727274,0.019300745785559372,2.556247208118439,0.15987550077265344,2.32921875,0.14156066831044561
exp4,unified,exp6,50,0.09909090909090916,0.011915398129326139,1.3744774019718171,0.08589570257985567,1.0253125,0.039219282366904674
exp4,unified,exp7,50,0.1154545454545455,0.011630434095302676,1.3298026096820832,0.09430133146886538,1.33328125,0.06913449697419516
exp4,unified,exp8,50,0.3390909090909091,0.02953763315277877,2.435093243122101,0.19200560259368163,3.153515625,0.2467227759527444
exp4,unified,exp9,50,0.19000000000000003,0.02510153193368513,1.5045792305469512,0.13802306303286804,1.448359375,0.09687965316445772
exp5,unified,exp1,50,0.12151515151515158,0.010128293657623659,1.5552017557621003,0.08910895543043236,1.343359375,0.08034388522207601
exp5,unified,exp2,50,0.21878787878787884,0.021981489833876232,2.2193128800392152,0.15630718750813308,1.69765625,0.09000731849584509
exp5,unified,exp3,50,0.14878787878787883,0.015003793826932633,1.6168009185791015,0.0997453388205679,1.312734375,0.05688610889106079
exp5,unified,exp4,50,0.24757575757575762,0.020655160753390255,2.455123333930969,0.16616203344243005,1.86875,0.05947466142453018
exp5,unified,exp5,50,0.06000000000000005,0.008092250484651104,0.7431829893589019,0.05373148707096555,0.603515625,0.02860130108628146
exp5,unified,exp6,50,0.11393939393939398,0.012958227724052118,1.2151273262500764,0.0921891814024553,0.85734375,0.05225709954757343
exp5,unified,exp7,50,0.22424242424242424,0.019698741179080555,2.1401794958114624,0.13266035388589706,1.114375,0.06272140440322187
exp5,unified,exp8,50,0.10666666666666672,0.016342091315883527,0.8317206484079361,0.09113310673276506,1.291953125,0.09322621224950965
exp5,unified,exp9,50,0.1675757575757576,0.01770489237351527,1.168248489499092,0.1065689679328059,1.362421875,0.07544062111656508
exp6,unified,exp1,50,0.07030303030303037,0.010137885015147336,1.05903000831604,0.07023113823316558,1.004140625,0.06670957262700852
exp6,unified,exp2,50,0.18787878787878792,0.022846153727237285,1.8565421545505523,0.15088188884532847,1.301875,0.07199336015390585
exp6,unified,exp3,50,0.10696969696969702,0.010405967066874555,1.296269689798355,0.09050425856119379,1.171953125,0.043006211056696504
exp6,unified,exp4,50,0.2124242424242425,0.022632289601335395,2.0583501636981962,0.16374240802810128,1.499609375,0.06480734105854155
exp6,unified,exp5,50,0.3175757575757576,0.03036769827061774,2.721713864803314,0.20161911181782619,1.53421875,0.16077404150507318
exp6,unified,exp6,50,0.07151515151515157,0.009563444327295764,1.0409413504600524,0.05979184213496529,0.535,0.02920042941679112
exp6,unified,exp7,50,0.20121212121212126,0.019808805121222694,1.8561447405815124,0.13690427577703873,0.92,0.059832919711894375
exp6,unified,exp8,50,0.35545454545454547,0.027021411773163806,2.383215162754059,0.17751419808593652,2.44015625,0.2545715697807298
exp6,unified,exp9,50,0.13212121212121217,0.01880193413648519,1.1040321046113968,0.1078533552756628,1.1615625,0.07879366497774425
exp7,unified,exp1,50,0.07575757575757582,0.010003488831255897,1.1206140732765197,0.07846789795505071,1.134609375,0.0832467229671272
exp7,unified,exp2,50,0.09757575757575764,0.01106809377103925,1.2301388800144195,0.0775846342321414,1.261875,0.06474370324112608
exp7,unified,exp3,50,0.06333333333333338,0.0077621293453722035,0.8663601154088973,0.06119390875230472,1.319609375,0.04427280055678232
exp7,unified,exp4,50,0.10030303030303038,0.01010694694218757,1.1502780973911286,0.07125252381552313,1.518359375,0.053988390769596245
exp7,unified,exp5,50,0.28212121212121216,0.022923070930830975,2.627364790439606,0.18995191977588588,1.18140625,0.054775873595270023
exp7,unified,exp6,50,0.08424242424242431,0.012271097534888382,1.136247285604477,0.07021538193719848,0.57875,0.03166390948797226
exp7,unified,exp7,50,0.10181818181818186,0.010393160143949372,1.2323804295063019,0.07614815965074224,0.756484375,0.047662211614817304
exp7,unified,exp8,50,0.3751515151515152,0.03247115043622529,2.4757581472396852,0.21680989843033044,2.0128125,0.13558583809597335
exp7,unified,exp9,50,0.18212121212121216,0.021050120782083702,1.436382304430008,0.1383390685944154,1.264765625,0.09402873776346582
exp8,unified,exp1,50,0.09000000000000005,0.010371317373350867,1.4008098578453063,0.09389513491857449,0.9746875,0.034398908730874006
exp8,unified,exp2,50,0.1890909090909091,0.023333179062850894,2.0328215527534486,0.15278988494576767,1.707578125,0.10650564598627212
exp8,unified,exp3,50,0.06030303030303036,0.007073025882403486,1.4182403028011321,0.12642443346249166,1.018671875,0.03761246429979196
exp8,unified,exp4,50,0.19151515151515153,0.016115852378573416,2.253559169769287,0.11921339947098392,1.82125,0.09487940762983028
exp8,unified,exp5,50,0.05636363636363642,0.0065745257888326575,0.8225246781110763,0.0449203384940088,0.70484375,0.030816712440249038
exp8,unified,exp6,50,0.10878787878787882,0.011686011510082216,1.1742541909217834,0.07608581403218836,0.88734375,0.043563314196121486
exp8,unified,exp7,50,0.20575757575757578,0.015921021788898194,2.0195018529891966,0.11287465735487104,1.3703125,0.08320497797232446
exp8,unified,exp8,50,0.09424242424242431,0.012333421189471904,0.7814070862531662,0.09113672383410908,0.708671875,0.051470945327345835
exp8,unified,exp9,50,0.14030303030303037,0.020430873844762637,0.9791407704353332,0.09898433605310764,0.900703125,0.0453404376159199
exp9,unified,exp1,50,0.06484848484848489,0.009968884557485728,1.2751515913009643,0.08196997991692759,0.67609375,0.03362696265182896
exp9,unified,exp2,50,0.18484848484848485,0.01885851822984849,1.9216240739822388,0.1356631425007163,1.004765625,0.05022792007517458
exp9,unified,exp3,50,0.03757575757575764,0.006363070681928178,1.4744651025533677,0.11072840577878788,0.726953125,0.030463048344726188
exp9,unified,exp4,50,0.18969696969696972,0.020543849047845016,2.0741763877868653,0.1337151117649242,1.1571875,0.06091767658334073
exp9,unified,exp5,50,0.3281818181818182,0.02502109743405368,3.112776212692261,0.2219212506473084,3.4665625,0.35767733232971305
exp9,unified,exp6,50,0.07818181818181824,0.009499999516698067,0.9795470464229584,0.07245081648055199,0.609765625,0.03448297318174761
exp9,unified,exp7,50,0.1972727272727273,0.018695377369452208,1.8533568120002746,0.13575139701524996,1.03375,0.06086706859265114
exp9,unified,exp8,50,0.3772727272727273,0.02752349359591761,2.682983465194702,0.2324684250898844,4.21203125,0.42960289276115216
exp9,unified,exp9,50,0.11636363636363642,0.015724235124416508,0.8815950870513916,0.0949136982057882,0.676484375,0.034280079315699145
