model,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,row_mean
exp1,0.69293685734272,1.7539911842346192,0.4749285113811493,1.715950665473938,2.171394124031067,1.0102549827098846,1.8115531158447267,1.9769061350822448,0.961114661693573,1.3965589153104359
exp2,0.9539533817768097,0.9941880416870117,0.641378558576107,0.7735045820474624,2.7322677993774414,1.2884428250789641,1.2254682159423829,2.588532655239105,1.458576921224594,1.40625699788332
exp3,0.9506324636936188,1.7244175958633423,0.39683032780885696,1.6197372162342072,2.1382868599891665,1.3073826622962952,1.7813382244110108,1.9729942345619202,1.3610086804628372,1.4725142517023617
exp4,1.039457615017891,1.049469148516655,0.4977782079577446,0.6288752657175064,2.5498536801338196,1.4210905492305757,1.3133881413936614,2.4468239665031435,1.4930768394470215,1.3822014904353352
exp5,1.4919013011455535,2.2164111137390137,1.6222161674499511,2.4580351543426513,0.6387475252151489,1.2240330636501313,2.1548674082756043,0.7725026422739029,1.102267090678215,1.5201090518633522
exp6,1.0513122868537903,1.8313249456882477,1.2969630563259125,2.0552178966999053,2.7181745743751526,1.0089396703243256,1.8129412949085235,2.356844862699509,1.0289748644828796,1.6845214947064717
exp7,1.0570412600040435,1.191483246088028,0.7029825788736344,1.0384929990768432,2.6226103043556215,1.087603783607483,1.10566845536232,2.458434109687805,1.3920931732654571,1.4062677678134707
exp8,1.353256388902664,2.0130669820308684,1.305502587556839,2.2416631627082824,0.7781928935647011,1.0883291840553284,1.94594500541687,0.6716786569356918,0.9321878921985626,1.3699803059299787
exp9,1.1964414417743683,1.8559745287895202,1.4561145997047424,2.038608218431473,3.10969687461853,0.8911799448728561,1.8402849292755128,2.6504865193367007,0.827560059428215,1.762927457359102
col_mean,1.0874369996123845,1.6255918651819232,0.9327438439594375,1.6188983511924744,2.1621360706289607,1.1474729628695384,1.6657171989811792,1.988355975813336,1.172984464764595,1.4890375258893143
